peris, apos, t_min_relative, r_relative, theta 
28.836593 102.721305 -1.377000 50.530609 58.592893 
12.095739 105.201168 -2.794000 17.141974 18.693897 
21.810365 94.423683 -0.401000 70.291466 47.437238 
19.092673 110.306942 -0.898000 6.061997 78.000758 
30.012560 96.133288 -0.379000 77.039059 63.604309 
17.806962 99.116352 -0.455000 66.537938 59.622121 
8.372460 91.681768 -0.653000 19.896811 41.160030 
24.348966 94.953934 -1.181000 39.392014 71.438774 
26.678408 107.721173 -0.481000 78.427863 45.157469 
27.958658 89.438125 -2.627000 37.132322 54.109530 
19.093398 78.455657 -1.025000 16.493341 47.967191 
21.629622 102.656069 -2.692000 15.763237 44.723409 
22.992131 98.420272 -0.509000 48.160058 79.963277 
8.578732 96.504240 -3.872000 24.288120 45.636567 
21.182957 91.035395 -0.207000 95.629267 44.253754 
8.621672 104.389432 -3.926000 16.037418 35.747478 
6.575484 76.755591 -0.855000 10.413229 65.440236 
28.076532 90.811209 -1.181000 24.678000 64.490592 
22.927288 88.254376 -2.517000 29.041881 55.637165 
18.797578 96.586894 -0.445000 65.122711 63.778751 
22.223890 92.602499 -0.595000 35.199886 65.163747 
22.003163 95.491084 -3.999000 44.027153 51.051903 
12.494562 95.748810 -3.999000 63.282086 73.360066 
12.350043 101.362687 -0.625000 34.357930 44.204370 
16.406231 93.603023 -2.945000 65.345537 81.728429 
22.425096 97.717394 -2.600000 52.356407 35.112801 
10.949849 89.207082 -2.329000 15.808254 52.020544 
22.609511 59.906471 -1.933000 3.326442 50.437259 
7.558969 84.956447 -0.728000 15.004444 71.220243 
15.453207 93.413349 -2.336000 56.754084 31.520997 
16.259505 93.692515 -2.483000 52.034207 70.823785 
23.615777 95.139573 -0.265000 91.814945 43.359554 
20.126447 98.755785 -0.187000 106.174126 41.206634 
8.967688 98.058722 -0.521000 43.613484 47.610076 
13.037689 103.965068 -0.994000 31.628192 73.668885 
16.908154 102.210438 -0.505000 62.629910 60.688386 
20.890639 100.029109 -2.675000 26.032368 75.130761 
18.313842 104.641058 -2.568000 31.307723 59.115773 
23.870476 98.681446 -0.413000 74.013419 58.306703 
13.319301 94.414311 -2.222000 59.016386 75.034760 
20.771938 115.850200 -2.658000 6.828692 42.209846 
21.961783 98.928097 -3.999000 80.767427 36.710844 
6.155463 98.063751 -3.738000 43.225451 42.314728 
17.506008 100.150169 -2.719000 13.901172 50.500676 
31.408076 89.265525 -1.181000 26.581312 74.484020 
15.558210 104.249945 -1.058000 28.477393 47.358198 
16.701865 101.899261 -3.071000 64.904948 44.425570 
32.210778 101.263272 -3.007000 50.183277 57.191945 
15.407269 110.705038 -0.579000 62.125822 41.880047 
20.704176 95.400588 -0.571000 42.157243 57.512233 
15.219442 99.706157 -2.360000 67.981991 61.001650 
19.729708 96.916660 -2.522000 34.520573 70.486076 
16.820118 96.469679 -0.461000 60.537333 49.774197 
16.425210 95.125764 -0.263000 94.147351 43.570948 
22.906142 100.412169 -0.459000 67.404367 65.875125 
21.540481 85.199921 -0.987000 6.866120 85.385597 
15.540596 99.310383 -0.441000 69.477378 25.335879 
24.648601 88.761847 -2.585000 15.140181 51.503202 
18.006025 95.809454 -2.647000 10.577047 60.212972 
14.470610 97.021508 -2.390000 57.647077 32.171716 
13.315384 95.433429 -3.999000 9.904850 54.535567 
15.022285 101.497548 -3.999000 26.260557 70.306214 
12.339300 95.696556 -0.641000 25.937788 62.444169 
23.374691 105.613614 -2.862000 8.677254 35.928995 
19.959526 95.116832 -0.573000 39.309083 64.053685 
17.888189 98.484547 -2.430000 66.661962 32.076562 
27.167593 107.092027 -3.122000 18.437740 21.108060 
15.255282 99.642824 -3.999000 17.536595 63.071299 
23.867570 100.109079 -0.455000 67.639481 45.072270 
12.759450 100.018002 -2.358000 58.018939 72.956086 
19.753555 101.089310 -2.675000 34.789837 75.577102 
16.372263 95.655493 -2.304000 64.371789 62.968305 
10.044922 89.728071 -0.673000 19.023689 60.623995 
16.939947 104.559032 -0.531000 61.354739 39.740449 
9.773567 94.383923 -2.519000 19.685822 35.804192 
11.943952 93.557715 -3.999000 52.461300 72.275977 
13.379170 102.242499 -0.515000 58.333064 49.764424 
18.342023 87.851203 -1.031000 28.336554 70.649353 
27.213087 107.012645 -3.065000 39.994039 34.062922 
15.801127 100.337244 -3.662000 61.177888 39.571573 
18.081972 96.263935 -0.623000 35.445121 69.200655 
10.676912 91.112374 -0.625000 24.164876 55.135685 
8.854143 95.493448 -0.641000 23.802965 51.250421 
20.614540 104.253423 -0.623000 43.689782 63.968288 
28.009887 108.141032 -1.056000 10.121308 55.060184 
24.936682 103.469724 -2.650000 23.148479 54.853173 
19.875311 102.096420 -3.999000 53.070461 44.437844 
20.279969 98.016823 -0.455000 63.202101 71.163555 
13.216088 100.548414 -0.703000 29.676635 54.144029 
18.300266 128.558738 -0.992000 8.827002 57.878889 
15.873884 100.751357 -2.899000 45.283861 21.790384 
16.458734 105.700351 -3.999000 45.579368 49.629307 
11.333028 101.463708 -0.543000 45.016502 71.972674 
6.866955 91.826180 -0.749000 15.213378 18.715815 
19.845558 95.343118 -3.996000 64.362149 71.564050 
18.341870 91.301156 -3.596000 1.146390 58.329004 
7.409271 100.138711 -3.966000 31.031014 8.297424 
20.998266 94.413512 -2.671000 20.624475 50.803684 
