peris, apos, t_min_relative, r_relative, theta 
18.720371 98.589411 -1.055000 11.282527 25.188076 
19.622162 95.696354 -1.188000 6.387825 11.768631 
20.328093 94.233347 -2.377000 15.431239 43.447806 
20.454314 105.508681 -0.539000 63.835696 33.891348 
16.334702 100.983228 -2.646000 3.981556 46.832309 
27.526206 97.664307 -1.180000 9.417091 39.001537 
10.038022 97.548277 -1.064000 13.465967 14.481067 
15.486901 108.038267 -2.661000 7.795273 17.379791 
24.727624 98.037839 -0.357000 82.808687 17.471447 
34.483867 103.414834 -0.359000 88.059309 19.394589 
17.078942 102.147117 -2.884000 39.322255 30.680561 
25.489625 96.900493 -1.297000 42.583224 39.717561 
25.163869 97.858502 -1.214000 28.161827 34.580070 
19.475406 90.276628 -2.294000 14.524705 34.127200 
22.908315 104.225714 -3.299000 34.240294 24.619519 
21.366417 99.449911 -1.146000 19.514960 56.366696 
25.471596 98.411134 -1.141000 8.665901 37.572967 
20.980401 102.159655 -0.647000 44.848514 50.923805 
24.928331 110.000960 -3.281000 62.551538 13.131094 
19.953920 107.243891 -2.785000 5.875968 28.716750 
25.419590 104.637760 -0.465000 68.943411 23.978159 
17.291256 95.053869 -1.042000 11.990117 50.056554 
23.890285 107.694783 -3.057000 48.874010 17.895104 
29.270420 96.130317 -1.290000 24.901812 15.405936 
22.919593 90.610868 -1.132000 17.704326 24.871513 
24.390815 98.170061 -3.125000 42.740049 34.162967 
20.246969 101.821344 -3.036000 31.831198 16.758521 
21.515441 89.186421 -2.428000 53.792639 32.716691 
33.035307 100.509379 -3.495000 81.851439 17.117430 
20.273851 104.671338 -1.249000 33.987299 37.807613 
30.582205 99.265146 -0.371000 81.901521 32.000613 
24.136598 104.577333 -2.890000 12.405258 17.223229 
22.111654 91.088455 -1.064000 19.821013 41.398772 
32.167762 101.217170 -0.383000 83.644511 27.988528 
30.318051 107.264064 -3.517000 32.746093 20.333824 
26.452259 102.144502 -0.415000 79.853452 25.046032 
25.540035 95.837921 -1.230000 9.745591 27.468092 
25.945351 103.495671 -3.271000 31.902866 26.485981 
27.204229 100.781161 -0.433000 76.573444 33.405652 
28.875762 102.930714 -1.291000 27.267700 42.880619 
23.075212 100.669331 -3.999000 56.389525 32.996602 
27.014758 100.299944 -1.209000 11.851253 18.747468 
15.265049 103.301872 -2.357000 77.385420 27.554021 
31.773451 109.755876 -3.540000 25.497303 17.478354 
19.390750 110.044648 -2.875000 31.076124 28.410621 
27.635075 99.532896 -1.357000 48.158835 41.048532 
31.859582 105.214964 -1.393000 38.082406 36.481340 
21.319495 104.349183 -1.129000 11.630029 13.695877 
19.842409 101.813483 -2.852000 40.141895 33.830092 
