peris, apos, t_min_relative, r_relative, theta 
35.833661 100.181414 -0.047000 48.113208 58.592893 
23.603289 101.583318 -0.047000 48.113180 18.693897 
31.250169 101.831668 -0.047000 48.121037 47.437238 
24.519949 90.099073 -0.048000 48.094090 78.000758 
38.100672 98.317145 -0.047000 48.122161 63.604309 
26.169827 106.497313 -0.047000 48.118699 59.622121 
20.419080 95.272545 -0.048000 48.103659 41.160030 
30.014613 94.885228 -0.048000 48.103556 71.438774 
39.631276 112.386400 -0.047000 48.116052 45.157469 
33.613070 92.299048 -0.047000 48.122429 54.109530 
30.475974 90.569653 -0.048000 48.103154 47.967191 
31.970833 101.739799 -0.047000 48.113490 44.723409 
27.145671 100.123701 -0.048000 48.108933 79.963277 
17.923646 100.809450 -0.047000 48.114849 45.636567 
27.348207 91.114449 -0.046000 48.125400 44.253754 
18.024049 105.462733 -0.047000 48.117766 35.747478 
18.053265 92.813720 -0.048000 48.091993 65.440236 
34.694209 92.624121 -0.047000 48.113584 64.490592 
29.080484 91.594750 -0.047000 48.118363 55.637165 
26.672210 103.453602 -0.047000 48.116622 63.778751 
29.904725 93.515430 -0.047000 48.113471 65.163747 
25.889265 91.956751 -0.046000 48.126945 51.051903 
15.470195 95.529771 -0.047000 48.121453 73.360066 
21.341051 101.907181 -0.048000 48.107576 44.204370 
18.719030 94.604681 -0.047000 48.120589 81.728429 
34.931854 100.737826 -0.047000 48.121693 35.112801 
17.872098 93.411696 -0.047000 48.124347 52.020544 
20.497549 95.698291 -0.048000 48.094269 50.437259 
18.027533 93.255498 -0.048000 48.100534 71.220243 
27.169913 96.612309 -0.047000 48.118422 31.520997 
19.487528 96.476520 -0.046000 48.124308 70.823785 
29.342032 90.894856 -0.046000 48.125388 43.359554 
27.502642 98.532367 -0.046000 48.126685 41.206634 
16.268251 98.655181 -0.048000 48.109557 47.610076 
17.591900 96.760465 -0.048000 48.088687 73.668885 
26.784009 107.001199 -0.048000 48.105098 60.688386 
