peris, apos, t_min_relative, r_relative, theta 
12.920331 101.107280 -0.495000 61.453132 39.015359 
12.157402 94.615402 -0.751000 22.688614 65.948726 
9.603597 101.004284 -2.919000 70.458591 40.169955 
23.742320 100.594868 -0.433000 75.031103 38.690380 
28.250050 99.053011 -0.419000 71.228721 41.804061 
18.675476 99.911800 -0.459000 65.763649 45.145343 
15.776188 103.897430 -2.919000 26.581599 24.807742 
6.954027 85.751013 -0.705000 12.882314 45.827433 
11.090451 100.172109 -2.276000 62.915869 57.355361 
18.632353 105.800381 -2.478000 6.426045 60.988781 
21.117487 104.586602 -2.865000 51.598774 42.517149 
8.388986 103.089043 -3.940000 27.731474 35.689211 
17.308648 102.628708 -2.724000 36.849440 35.586823 
17.787471 98.550121 -3.999000 67.598486 23.934642 
14.987229 109.511712 -2.997000 17.525005 20.811522 
15.176864 99.977412 -0.455000 68.411203 77.490882 
18.068847 103.022087 -2.410000 13.991545 55.907554 
18.787485 97.891252 -2.508000 53.413556 45.089731 
14.152911 96.943121 -2.298000 62.907238 58.460962 
21.919939 108.639035 -2.590000 17.032750 41.399933 
18.835400 102.849202 -2.446000 32.835593 44.132860 
17.930434 93.831271 -3.836000 17.976718 56.357607 
23.301198 98.385151 -0.479000 58.467494 66.322616 
17.303641 101.477981 -0.455000 72.245141 45.740667 
22.076619 90.803255 -3.870000 20.343461 49.689452 
15.716525 101.016825 -0.533000 49.886833 81.853358 
8.422009 104.484427 -2.275000 59.710152 37.214539 
15.281951 97.236920 -2.455000 2.056620 52.623679 
15.320602 99.397829 -3.161000 74.388792 57.099424 
15.794079 73.357640 -0.933000 9.515414 68.748376 
9.004138 100.485669 -0.633000 28.426690 39.112528 
21.347421 97.459503 -0.421000 71.479790 55.378590 
27.296704 99.625744 -2.532000 14.208001 58.197057 
11.399300 86.533384 -2.150000 34.330923 54.736366 
26.534600 93.291385 -2.725000 26.505117 54.418582 
21.379893 98.891373 -2.540000 66.032718 33.073561 
17.375131 95.655468 -0.447000 63.659424 53.705601 
23.966093 97.620513 -0.425000 72.023468 60.865769 
31.561838 97.442054 -0.325000 85.431595 37.773130 
14.849220 98.606737 -0.495000 54.373831 70.062538 
27.327648 96.089136 -2.658000 36.217552 28.222645 
7.232478 103.124779 -3.999000 23.571980 50.566039 
19.661218 106.291737 -0.527000 66.898236 26.429853 
24.613366 98.077412 -2.420000 79.986925 58.880607 
14.180278 100.738188 -0.485000 62.960505 26.637215 
13.841935 99.263909 -2.396000 29.890529 66.287592 
21.765576 91.884612 -2.442000 46.384396 49.943197 
15.065346 98.949961 -3.480000 68.684537 30.575101 
15.019265 101.069951 -0.493000 61.437249 49.374016 
24.662307 95.242161 -2.181000 1.675986 17.956621 
10.097063 97.598946 -0.864000 23.166460 71.676870 
24.596731 95.189301 -0.269000 91.987732 60.621700 
